;Website;General rating;Title;Company;Company_type;Company_sector;Country;City;Summary;Date;Job_id;Job_url
127;linkedin;1;Advanced Data Insight Analyst II (Partner Marketing);EXPEDIA GROUP;Large Enterprise (+5000 employees);Technology, Travel, Ecommerce, Sales, Hotels, Big Data, Mobile, Business Development, SEO, SEM, Hospitality, Airfare;SWITZERLAND;Geneva;;30 day ago;2720082386;https://ch.linkedin.com/jobs/view/advanced-data-insight-analyst-ii-partner-marketing-at-expedia-group-2720082386?refId=cr0YmcrL%2FNskC8MHdVGZfg%3D%3D&trackingId=608hg1ZdJS77EU0JAeKkHQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
128;linkedin;1;Logistics Data Analyst - Bilingual French and English;MICHAEL PAGE;Large Enterprise (+5000 employees);Unknown;SWITZERLAND;Geneva;;30 day ago;2722634916;https://ch.linkedin.com/jobs/view/logistics-data-analyst-bilingual-french-and-english-at-michael-page-2722634916?refId=cr0YmcrL%2FNskC8MHdVGZfg%3D%3D&trackingId=qinZU%2Fsqff%2F3A1LC6AqLhQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
129;linkedin;1;Chargé de projets Data Analyst (H/F);ROLEX;Large Enterprise (+5000 employees);Watchmaking;SWITZERLAND;Geneva;;1 day ago;2599971996;https://ch.linkedin.com/jobs/view/charg%C3%A9-de-projets-data-analyst-h-f-at-rolex-2599971996?refId=cr0YmcrL%2FNskC8MHdVGZfg%3D%3D&trackingId=NhVYYV67uGakkY3yoCME7w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
130;linkedin;1;Data Scientist;CASHFORCE;Small-sized Enterprise (11-50 employees);Working Capital Management, Financial management, Cash Flow Management, Liquidity forecasting, Treasury Management, Cash management, Business Analytics, Cash Forecasting;BELGIUM;Antwerp Metropolitan Area;;7 day ago;2736161946;https://be.linkedin.com/jobs/view/data-scientist-at-cashforce-2736161946?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=50snVJlqn1RpqlauvgnE9A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
131;linkedin;1;Data analyst (H/F);ROLEX;Large Enterprise (+5000 employees);Watchmaking;SWITZERLAND;Geneva;;7 day ago;2731698625;https://ch.linkedin.com/jobs/view/data-analyst-h-f-at-rolex-2731698625?refId=cr0YmcrL%2FNskC8MHdVGZfg%3D%3D&trackingId=U%2FkUiHrvC2ZG4uhathFPNw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
132;linkedin;1;Data Scientist;AGILYTIC;Startup (1-10 employees);Customer Experience, Fraud Analytics, Churn Detection, Business Improvement, Data Analytics, Telecommunication, Retail, Advanced Modelling, Data Management, Business Reporting;BELGIUM;Brussels;;30 day ago;2726674007;https://be.linkedin.com/jobs/view/data-scientist-at-agilytic-2726674007?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=AB04FU9I5LZ0hsQuLmuPog%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
133;linkedin;1;Data Scientist;STIB / MIVB;Startup (1-10 employees);Mantelzorgondersteuning, Vrijwilligerswerk;BELGIUM;Brussels;;21 day ago;2716478337;
134;linkedin;1;Data Scientist - Young Graduate Opportunity;KASPARD;Small-sized Enterprise (11-50 employees);Unknown;BELGIUM;Brussels Metropolitan Area;;1 day ago;2742418147;https://be.linkedin.com/jobs/view/data-scientist-young-graduate-opportunity-at-kaspard-2742418147?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=izx6svzkDbjJ%2BkJh6OTDGw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
135;linkedin;1;Data Scientist;GSK;Unknown;Unknown;BELGIUM;Wavre;;4 day ago;2710785618;https://be.linkedin.com/jobs/view/data-scientist-at-gsk-2710785618?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=piixmbXiHB0pqMSQQo0Dbg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
136;linkedin;1;Data Scientist;ROSSEL ADVERTISING;Intermediate-sized Enterprise (251-5000 employees);Presse & Publicité  multimédia;BELGIUM;Brussels;;7 day ago;2731611035;https://be.linkedin.com/jobs/view/data-scientist-at-rossel-advertising-2731611035?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=DH2TRqqcAPljWTcFq8lzyg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
137;linkedin;1;Data Scientist;&WORK;Unknown;Unknown;BELGIUM;Aalst;;1 day ago;2742181602;https://be.linkedin.com/jobs/view/data-scientist-at-work-2742181602?refId=CyVS1PswljJpH9mdEjRa1Q%3D%3D&trackingId=FRgVyMV%2BealB%2FtF%2FjppIOg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
